genre_name,genre_id,characteristic_id
drone folk,962,175351
drone metal,963,175352
drum and bass,964,175353
dub,965,175354
dub metal,966,175355
dub poetry,967,175356
dub reggae,968,175357
dub techno,969,175358
dubstep,970,175359
dubstep product,971,175360
dubsteppe,972,175361
duduk,973,175362
duluth indie,974,175363
dunedin indie,975,175364
dunedin sound,976,175365
dungeon synth,977,175366
duranguense,978,175367
dusseldorf electronic,979,175368
dutch americana,980,175369
dutch blues,981,175370
dutch classical piano,982,175371
dutch death metal,983,175372
dutch edm,984,175373
dutch experimental electronic,985,175374
dutch folk,986,175375
dutch hip hop,987,175376
dutch house,988,175377
dutch indie,989,175378
dutch indie rock,990,175379
dutch jazz,991,175380
dutch metal,992,175381
dutch moombahton,993,175382
dutch pop,994,175383
dutch prog,995,175384
dutch rap pop,996,175385
dutch rock,997,175386
dutch tech house,998,175387
dutch trance,999,175388
early american folk,1000,175389
early avant garde,1001,175390
early modern classical,1002,175391
early music,1003,175392
early music choir,1004,175393
early music ensemble,1005,175394
early reggae,1006,175395
early romantic era,1007,175396
early synthpop,1008,175397
early us punk,1009,175398
east coast hip hop,1010,175399
east coast reggae,1011,175400
eastern bloc groove,1012,175401
easy listening,1013,175402
easycore,1014,175403
eau claire indie,1015,175404
ebm,1016,175405
ecm-style jazz,1017,175406
ectofolk,1018,175407
ecuadorian pop,1019,175408
edm,1020,175409
edmonton indie,1021,175410
egyptian pop,1022,175411
egyptian traditional,1023,175412
el paso indie,1024,175413
electra,1025,175414
electric bass,1026,175415
electric blues,1027,175416
electro,1028,175417
electro house,1029,175418
electro jazz,1030,175419
electro latino,1031,175420
electro swing,1032,175421
electro trash,1033,175422
electro-industrial,1034,175423
electroclash,1035,175424
electrofox,1036,175425
electronic djent,1037,175426
electronic rock,1038,175427
electronic trap,1039,175428
electronica,1040,175429
electronica argentina,1041,175430
electronica chilena,1042,175431
electronica venezuela,1043,175432
electronicore,1044,175433
electropop,1045,175434
electropowerpop,1046,175435
elektropunk,1047,175436
elephant 6,1048,175437
emo,1049,175438
emo mexicano,1050,175439
emo punk,1051,175440
emo rap,1052,175441
emocore,1053,175442
english baroque,1054,175443
english indie rock,1055,175444
english renaissance,1056,175445
entehno,1057,175446
environmental,1058,175447
epic doom,1059,175448
epicore,1060,175449
erhu,1061,175450
erotica,1062,175451
escape room,1063,175452
esperanto,1064,175453
estonian hip hop,1065,175454
estonian pop,1066,175455
ethereal wave,1067,175456
etherpop,1068,175457
ethio-jazz,1069,175458
ethiopian pop,1070,175459
ethnomusicology,1071,175460
ethnotronica,1072,175461
eugene indie,1073,175462
euphoric hardstyle,1074,175463
euro hi-nrg,1075,175464
eurobeat,1076,175465
eurodance,1077,175466
europop,1078,175467
euroska,1079,175468
eurovision,1080,175469
exotica,1081,175470
experimental,1082,175471
experimental ambient,1083,175472
experimental dub,1084,175473
experimental folk,1085,175474
experimental guitar,1086,175475
experimental hip hop,1087,175476
experimental house,1088,175477
experimental indie rock,1089,175478
experimental jazz,1090,175479
experimental pop,1091,175480
experimental rock,1092,175481
experimental vocal,1093,175482
fado,1094,175483
fake,1095,175484
family gospel,1096,175485
faroese pop,1097,175486
fast melodic punk,1098,175487
fidget house,1099,175488
filmi,1100,175489
filter house,1101,175490
filthstep,1102,175491
final fantasy,1103,175492
fingerstyle,1104,175493
finnish alternative rock,1105,175494
finnish black metal,1106,175495
finnish classical,1107,175496
finnish contemporary classical,1108,175497
finnish death metal,1109,175498
finnish doom metal,1110,175499
finnish edm,1111,175500
finnish electro,1112,175501
finnish hard rock,1113,175502
finnish melodeath,1114,175503
finnish metal,1115,175504
finnish power metal,1116,175505
finnish soul,1117,175506
firenze indie,1118,175507
flamenco,1119,175508
flamenco fusion,1120,175509
flamenco guitar,1121,175510
flick hop,1122,175511
flint hip hop,1123,175512
float house,1124,175513
florida death metal,1125,175514
florida rap,1126,175515
fo jing,1127,175516
focus,1128,175517
focus beats,1129,175518
focus trance,1130,175519
folclor afrocolombiano,1131,175520
folclor colombiano,1132,175521
folclore extremeno,1133,175522
folclore jujeno,1134,175523
folclore navarra,1135,175524
folclore salteno,1136,175525
folclore tucumano,1137,175526
folk,1138,175527
folk metal,1139,175528
folk punk,1140,175529
folk rock,1141,175530
folk rock italiano,1142,175531
folk-pop,1143,175532
folklore argentino,1144,175533
folklore boliviano,1145,175534
folklore chileno,1146,175535
folklore ecuatoriano,1147,175536
folklore peruano,1148,175537
folklore quebecois,1149,175538
folklore venezolano,1150,175539
folkmusik,1151,175540
folktronica,1152,175541
footwork,1153,175542
forro,1154,175543
forro tradicional,1155,175544
fort worth indie,1156,175545
fourth world,1157,175546
franco-flemish school,1158,175547
francoton,1159,175548
frankfurt electronic,1160,175549
freak folk,1161,175550
freakbeat,1162,175551
free folk,1163,175552
free improvisation,1164,175553
free jazz,1165,175554
freestyle,1166,175555
french baroque,1167,175556
french classical piano,1168,175557
french contemporary classical,1169,175558
french death metal,1170,175559
french hip hop,1171,175560
french indie folk,1172,175561
french indie pop,1173,175562
french indietronica,1174,175563
french jazz,1175,175564
french metal,1176,175565
french movie tunes,1177,175566
french opera,1178,175567
french orchestra,1179,175568
french pop,1180,175569
french post-punk,1181,175570
french punk,1182,175571
french reggae,1183,175572
french rock,1184,175573
french romanticism,1185,175574
french shoegaze,1186,175575
french soundtrack,1187,175576
french synthpop,1188,175577
french tech house,1189,175578
french techno,1190,175579
frenchcore,1191,175580
frevo,1192,175581
full on,1193,175582
funana,1194,175583
funeral doom,1195,175584
funk,1196,175585
funk 150 bpm,1197,175586
funk carioca,1198,175587
funk metal,1199,175588
funk mexicano,1200,175589
funk ostentacao,1201,175590
funk pop,1202,175591
funk rock,1203,175592
funky breaks,1204,175593
funky tech house,1205,175594
future ambient,1206,175595
future bass,1207,175596
future funk,1208,175597
future garage,1209,175598
future house,1210,175599
future rock,1211,175600
futurepop,1212,175601
g funk,1213,175602
gabba,1214,175603
gabonese pop,1215,175604
gaian doom,1216,175605
gainesville indie,1217,175606
